ID Modele;Nom Modele;ID Propriete;Nom
6;Traité - Multifonction;83;Module photo
6;Traité - Multifonction;84;Recto/Verso
6;Traité - Multifonction;85;Type imprimante
6;Traité - Multifonction;87;Lecteur de carte(s)
7;Traité - Imprimante;4889;Spécificités Web Déstockage
7;Traité - Imprimante;26388;Imprimante|Impression recto-verso
7;Traité - Imprimante;26389;Imprimante|Interface
7;Traité - Imprimante;26381;Imprimante|Résolution couleur horizontale maxi
7;Traité - Imprimante;26393;Imprimante|Technologie
7;Traité - Imprimante;26394;Imprimante|Technologie de connectivité
7;Traité - Imprimante;26395;Imprimante|Type
7;Traité - Imprimante;26397;Imprimante|Type d'impression
7;Traité - Imprimante;26384;Imprimante|Vitesse d'impression maxi (ppm)
7;Traité - Imprimante;20;Résolution
7;Traité - Imprimante;21;Vitesse
7;Traité - Imprimante;23;Connexion et interfaces
7;Traité - Imprimante;548;Spécificités Web Déstockage
7;Traité - Imprimante;77;Bluetooth
7;Traité - Imprimante;78;WiFi
7;Traité - Imprimante;80;Vitesse
7;Traité - Imprimante;81;Réseau
7;Traité - Imprimante;82;PictBridge
7;Traité - Imprimante;83;Module photo
7;Traité - Imprimante;84;Recto/Verso
7;Traité - Imprimante;85;Type imprimante
7;Traité - Imprimante;87;Lecteur de carte(s)
8;Traité - Modèle Ecran;4889;Spécificités Web Déstockage
8;Traité - Modèle Ecran;26790;Ecran|Interface
8;Traité - Modèle Ecran;26787;Ecran|Luminosité d'image
8;Traité - Modèle Ecran;26791;Ecran|Rapport de contraste d'image
8;Traité - Modèle Ecran;26341;Ecran|Technologie
8;Traité - Modèle Ecran;26788;Ecran|Temps de réponse
8;Traité - Modèle Ecran;26327;Ecran|Diagonale
8;Traité - Modèle Ecran;26340;Ecran|Résolution native
8;Traité - Modèle Ecran;26328;Ecran|Taille diagonale (métrique)
8;Traité - Modèle Ecran;26342;Ecran|Type
8;Traité - Modèle Ecran;26363;Sortie audio|Type
8;Traité - Modèle Ecran;117;Haut-parleur(s)
8;Traité - Modèle Ecran;146;Compatibilité HD
8;Traité - Modèle Ecran;159;Tuner
8;Traité - Modèle Ecran;28;Technologie
8;Traité - Modèle Ecran;29;Résolution
8;Traité - Modèle Ecran;30;Temps de réponse
8;Traité - Modèle Ecran;31;Contraste
8;Traité - Modèle Ecran;32;Luminosité
8;Traité - Modèle Ecran;33;Connectiques
8;Traité - Modèle Ecran;34;Taille
8;Traité - Modèle Ecran;548;Spécificités Web Déstockage
8;Traité - Modèle Ecran;64;Ratio largeur/hauteur
8;Traité - Modèle Ecran;67;Haut-parleurs
9;Traité - Modèle MP3;4889;Spécificités Web Déstockage
9;Traité - Modèle MP3;26757;Mémoire flash|Taille installée
9;Traité - Modèle MP3;27069;Stockage interne|Capacité
